Class,Ground-truth instances,Correct (diagonal),Predicted as this class in error (column off-diagonal),Missed as another class (row off-diagonal),Precision (inter-class only; excludes 31 unmatched background FPs),Recall
Person,115,110,3,5,0.973,0.957
Door,78,75,2,3,0.974,0.962
Chair,92,88,3,4,0.967,0.957
Backpack,65,61,3,4,0.953,0.938
Laptop,55,53,1,2,0.981,0.964
Bottle,70,66,4,4,0.943,0.943
Pole,124,120,2,4,0.984,0.968
Vehicle,88,84,3,4,0.966,0.955
Bicycle,60,57,3,3,0.950,0.950
Stairs,95,91,13,4,0.875,0.958
Total,842,805,37,37,0.956,0.956
